prodcode,dmdcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
10684,325411009,1675,64572020,Methylprednisolone 2mg tablets,Methylprednisolone,2mg,Tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
10864,325345003,9736,64150020,Betamethasone 500microgram tablets,Betamethasone,500microgram,Tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
11149,3.80E+15,3651,48403020,Betnelan 500microgram tablets (Focus Pharmaceuticals Ltd),Betamethasone,500microgram,Tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
15555,4.05E+15,2330,64590020,Medrone 4mg tablets (Pfizer Ltd),Methylprednisolone,4mg,Tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
15617,5.36E+16,1406,54732020,Ledercort 4mg Tablet (Wyeth Pharmaceuticals),Triamcinolone Acetonide,4mg,Tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
17101,1.17E+17,15,3817007,DEXAMETHASONE 750 MCG TAB,,,,,0,Unknown,9-Feb
19908,1.45E+17,211,67163020,Triamcinolone 2mg Tablet,Triamcinolone Acetonide,2mg,Tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
21218,3.85E+15,421,78819020,Dexsol 2mg/5ml oral solution (Rosemont Pharmaceuticals Ltd),Dexamethasone sodium phosphate,400microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,9-Feb
21465,1.81E+17,7,6354007,BETAMETHASONE .1 MG TAB,,,,,0,Unknown,9-Feb
21903,4.12E+16,61,53177020,Oradexon-organon 2mg Tablet (Organon Laboratories Ltd),Dexamethasone,2mg,Tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
22555,3.85E+15,420,83662020,Calcort 1mg tablets (Shire Pharmaceuticals Ltd),Deflazacort,1mg,Tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
23111,1.45E+17,348,67164020,Triamcinolone 4mg Tablet,Triamcinolone Acetonide,4mg,Tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
23788,8.71E+16,59,2796007,CORTISONE ACETATE 2.5 MG TAB,,,,,0,Unknown,9-Feb
24014,5.36E+16,826,54731020,Ledercort 2mg Tablet (Wyeth Pharmaceuticals),Triamcinolone Acetonide,2mg,Tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
28615,7.09E+16,1,2259007,METHYLPREDNISOLONE L/A 4 MG CAP,,,,,0,Unknown,9-Feb
34801,6.12E+16,2,55666020,Dexamethasone 0.5mg/5ml Oral solution (Rosemont Pharmaceuticals Ltd),Dexamethasone,100microgram/1ml,Oral solution,Oral,6030200,Glucocorticoid Therapy,9-Feb
34880,3.29E+15,255,53490020,Dexamethasone 2mg tablets (Aspen Pharma Trading Ltd),Dexamethasone,2mg,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,9-Feb
34915,3.29E+15,35,53489020,Dexamethasone 500microgram tablets (Organon Laboratories Ltd),Dexamethasone,500microgram,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,9-Feb
36055,1.92E+17,2,74310020,Dexamethasone 2mg Tablet (Hillcross Pharmaceuticals Ltd),Dexamethasone,2mg,Tablet,Oral,6030200,Glucocorticoid Therapy,9-Feb
38022,8.58E+15,1011,94691020,Hydrocortisone 10mg/5ml oral suspension,Hydrocortisone,2mg/1ml,Oral suspension,Oral,6030200,Glucocorticoid Therapy,9-Feb
44380,1.79E+16,189,98889020,Prednisone 1mg modified-release tablets,Prednisone,1mg,Modified-release tablet,Oral,6030200,Glucocorticoid Therapy,11-Jan
44803,1.79E+16,25,98897020,Lodotra 2mg modified-release tablets (Napp Pharmaceuticals Ltd),Prednisone,2mg,Modified-release tablet,Oral,6030200,Glucocorticoid Therapy,März 2011
45234,8.79E+15,15,91780020,Dexamethasone 100microgram capsules,Dexamethasone,100microgram,Capsule,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Mai 2011
46711,1.79E+16,168,98891020,Prednisone 2mg modified-release tablets,Prednisone,2mg,Modified-release tablet,Oral,6030200,Glucocorticoid Therapy,12-Jan
50225,1.93E+16,14,6564020,Betnesol 500microgram soluble tablets (Waymade Healthcare Plc),Betamethasone sodium phosphate,500microgram,Soluble tablet,Oral,6030200,Glucocorticoid Therapy,13-Jan
51722,8.58E+15,1593,20239020,Hydrocortisone 5mg/5ml oral suspension,Hydrocortisone,1mg/1ml,Oral suspension,Oral,6030200,Glucocorticoid Therapy,13-Jan
51824,2.01E+16,67,40205020,Hydrocortisone 5mg/5ml oral suspension sugar free,Hydrocortisone,1mg/1ml,Oral suspension,Oral,6030200,Glucocorticoid Therapy,13-Jan
51849,1.25E+16,7,32190020,Hydrocortisone 1mg/5ml oral suspension,Hydrocortisone,200microgram/1ml,Oral suspension,Oral,6030200,Glucocorticoid Therapy,13-Jan
51871,1.54E+16,4,36273020,Hydrocortisone 2mg capsules,Hydrocortisone,2mg,Capsule,Oral,6030200,Glucocorticoid Therapy,13-Jan
51872,1.55E+16,10,36388020,Hydrocortisone 2.5mg capsules,Hydrocortisone,2.5mg,Capsule,Oral,6030200,Glucocorticoid Therapy,13-Jan
52053,1.26E+16,2,32204020,Hydrocortisone 3mg/5ml oral suspension,Hydrocortisone,600microgram/1ml,Oral suspension,Oral,6030200,Glucocorticoid Therapy,13-Jan
52396,8.43E+15,6,19597020,Dexamethasone 1mg/5ml oral solution,Dexamethasone,200microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,13-Jan
54432,1.79E+16,10,98895020,Lodotra 1mg modified-release tablets (Napp Pharmaceuticals Ltd),Prednisone,1mg,Modified-release tablet,Oral,6030200,Glucocorticoid Therapy,13-Apr
54793,1.17E+16,8,29799020,Dexamethasone 2mg/5ml oral suspension,Dexamethasone,400microgram/1ml,Oral suspension,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,13-Apr
55401,3.29E+15,1,6568020,Dexamethasone 500microgram tablets (A A H Pharmaceuticals Ltd),Dexamethasone,500microgram,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Mai 2013
58474,2.19E+16,1,47495020,Dexamethasone 2mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd),Dexamethasone sodium phosphate,400microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,14-Jan
60064,2.44E+16,472,23637021,Dexamethasone 10mg/5ml oral solution sugar free,Dexamethasone sodium phosphate,2mg/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Mai 2014
60120,3.29E+15,3,6571020,Dexamethasone 2mg tablets (Alliance Healthcare (Distribution) Ltd),Dexamethasone,2mg,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Juni 2014
62909,3.29E+15,1,6570020,Dexamethasone 2mg tablets (A A H Pharmaceuticals Ltd),Dexamethasone,2mg,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,15-Apr
63138,2.84E+16,214,44830021,Hydrocortisone 5mg/5ml oral solution,Hydrocortisone,1mg/1ml,Oral solution,Oral,6030200,Glucocorticoid Therapy,Mai 2015
64050,1.98E+16,1,766021,Martapan 2mg/5ml oral solution (Martindale Pharmaceuticals Ltd),Dexamethasone sodium phosphate,400microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,15-Aug
64059,8.58E+15,1,20233020,Hydrocortisone 2.5mg/5ml oral suspension,Hydrocortisone,500microgram/1ml,Oral suspension,Oral,6030200,Glucocorticoid Therapy,15-Aug
64235,2.12E+16,2,44411020,Betamethasone 500microgram soluble tablets sugar free (Alliance Healthcare (Distribution) Ltd),Betamethasone sodium phosphate,500microgram,Soluble tablet,Oral,6030200,Glucocorticoid Therapy,15-Sep
64747,1.17E+16,78,29797020,Dexamethasone 2mg/5ml oral solution,Dexamethasone,400microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,15-Nov
64766,2.89E+16,19,46623021,Dexamethasone 20mg/5ml oral solution sugar free,Dexamethasone sodium phosphate,4mg/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,15-Nov
66200,3.21E+16,2206,62211021,Dexamethasone 2mg soluble tablets sugar free,Dexamethasone sodium phosphate,2mg,Soluble tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Mai 2016
66524,3.21E+16,628,62213021,Dexamethasone 4mg soluble tablets sugar free,Dexamethasone sodium phosphate,4mg,Soluble tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Juni 2016
68103,3.24E+16,1,65918021,Dexamethasone 2mg soluble tablets sugar free (A A H Pharmaceuticals Ltd),Dexamethasone sodium phosphate,2mg,Soluble tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,16-Nov
68182,1.56E+16,2,6573020,Dexamethasone 2mg tablets (Teva UK Ltd),Dexamethasone,2mg,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,16-Nov
68306,2.11E+16,1,44409020,Betamethasone 500microgram soluble tablets sugar free (RPH Pharmaceuticals AB),Betamethasone sodium phosphate,500microgram,Soluble tablet,Oral,6030200,Glucocorticoid Therapy,Dezember 2016
68489,376688006,2115,70674021,Dexamethasone 4mg tablets,Dexamethasone,4mg,Tablet,Oral,6030200,Glucocorticoid Therapy,Dezember 2016
69572,1.17E+16,1,29807020,Dexamethasone 4mg/5ml oral suspension,Dexamethasone,800microgram/1ml,Oral suspension,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Mai 2017
70611,1.17E+16,1,29801020,Dexamethasone 3mg/5ml oral solution,Dexamethasone,600microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,17-Nov
71404,1.05E+16,2,6576020,Dexamethasone 2mg/5ml oral solution sugar free (Waymade Healthcare Plc),Dexamethasone sodium phosphate,400microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,18-Jan
71620,1.26E+16,4,32224020,Hydrocortisone 7mg/5ml oral suspension,Hydrocortisone,1.4mg/1ml,Oral suspension,Oral,6030200,Glucocorticoid Therapy,18-Feb
71926,1.17E+16,2,29769020,Dexamethasone 1.25mg/5ml oral suspension,Dexamethasone,250microgram/1ml,Oral suspension,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,18-Apr
72537,1.17E+16,2,29805020,Dexamethasone 4mg/5ml oral solution,Dexamethasone,800microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Juli 2018
72848,3.47E+16,19,78408021,Glensoludex 2mg soluble tablets (Glenmark Pharmaceuticals Europe Ltd),Dexamethasone sodium phosphate,2mg,Soluble tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,18-Aug
74156,8.45E+15,3,19683020,Dexamethasone 2.5mg/5ml oral solution,Dexamethasone,500microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Dezember 2018
74157,8.45E+15,2,19685020,Dexamethasone 2.5mg/5ml oral suspension,Dexamethasone,500microgram/1ml,Oral suspension,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Dezember 2018
74436,8.45E+15,1,19687020,Dexamethasone 500micrograms/5ml oral suspension,Dexamethasone,100microgram/1ml,Oral suspension,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,19-Jan
74497,1.26E+16,2,32220020,Hydrocortisone 7.5mg/5ml oral suspension,Hydrocortisone,1.5mg/1ml,Oral suspension,Oral,6030200,Glucocorticoid Therapy,19-Jan
74502,3.57E+16,49,82216021,Alkindi 1mg granules in capsules for opening (Diurnal Ltd),Hydrocortisone,1mg,Granules,Oral,6030200,Glucocorticoid Therapy,19-Jan
75019,3.58E+16,11,82215021,Hydrocortisone 1mg granules in capsules for opening,Hydrocortisone,1mg,Granules,Oral,6030200,Glucocorticoid Therapy,19-Feb
75065,3.57E+16,41,82218021,Alkindi 2mg granules in capsules for opening (Diurnal Ltd),Hydrocortisone,2mg,Granules,Oral,6030200,Glucocorticoid Therapy,19-Feb
75729,2.01E+16,15,40206020,Hydrocortisone 5mg/5ml oral suspension sugar free (Special Order),Hydrocortisone,1mg/1ml,Oral suspension,Oral,6030200,Glucocorticoid Therapy,19-Apr
76923,1.30E+16,331,94900020,Methylprednisolone 1mg/5ml oral suspension,Methylprednisolone,200microgram/1ml,Oral suspension,Oral,6030200,Glucocorticoid Therapy,Juli 2019
77483,2.36E+16,9,20227021,Dexamethasone 2mg/5ml oral solution sugar free (Waymade Healthcare Plc),Dexamethasone sodium phosphate,400microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,19-Aug
77849,8.43E+15,1,19595020,Dexamethasone 1mg/5ml oral suspension,Dexamethasone,200microgram/1ml,Oral suspension,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,19-Aug
78214,1.17E+16,1,29803020,Dexamethasone 3mg/5ml oral suspension,Dexamethasone,600microgram/1ml,Oral suspension,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Oktober 2019
78307,1.98E+16,1,38989020,Martapan 2mg/5ml oral solution (Martindale Pharmaceuticals Ltd),Dexamethasone sodium phosphate,400microgram/1ml,Oral solution,Oral,0,Unknown,19-Nov
78335,1.17E+16,1,29773020,Dexamethasone 1.5mg/5ml oral suspension,Dexamethasone,300microgram/1ml,Oral suspension,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,19-Nov
79684,3.47E+16,1,78409021,Glensoludex 4mg soluble tablets (Glenmark Pharmaceuticals Europe Ltd),Dexamethasone sodium phosphate,4mg,Soluble tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,20-Jan
38054,2.46E+17,85,92567020,Hydrocortisone Tablet,Hydrocortisone,,Tablet,Oral,06030100/06030200,Replacement Corticosteroids For Endocrine Conditions/Glucocorticoid Therapy,1/2/2009
53207,2.52E+17,0,95127020,Dexamethasone tablets,Dexamethasone,,,,6030200,Glucocorticoid Therapy,1/1/2013
